Function                                                                                                                                                         CPU Time  CPU Time:Effective Time  CPU Time:Spin Time  CPU Time:Spin Time:Imbalance or Serial Spinning  CPU Time:Spin Time:Lock Contention  CPU Time:Spin Time:Other  CPU Time:Overhead Time  CPU Time:Overhead Time:Creation  CPU Time:Overhead Time:Scheduling  CPU Time:Overhead Time:Reduction  CPU Time:Overhead Time:Atomics  CPU Time:Overhead Time:Other  Module          Function (Full)                                                                                                                                                                                                                                                                                                                                                                                                            Source File       Start Address
tVect::operator-                                                                                                                                                   0.220s                   0.220s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x45915e     
quaternion::operator+                                                                                                                                              0.220s                   0.220s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x4220a3     
tVect::operator/                                                                                                                                                   0.220s                   0.220s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x40b921     
tVect::operator/                                                                                                                                                   0.220s                   0.220s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator/(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x44b6e7     
tVect::operator*                                                                                                                                                   0.210s                   0.210s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x421ace     
tVect::operator-                                                                                                                                                   0.210s                   0.210s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator-(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x419c9d     
std::ostream::operator<<                                                                                                                                           0.200s                   0.200s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::ostream::operator<<(double)                                                                                                                                                                                                                                                                                                                                                                                           ostream           0x44714f     
std::vector<elmt, std::allocator<elmt>>::operator[]                                                                                                                0.200s                   0.200s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<elmt, std::allocator<elmt>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x409c20     
tVect::operator*                                                                                                                                                   0.200s                   0.200s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x40bd85     
std::vector<node*, std::allocator<node*>>::operator[]                                                                                                              0.190s                   0.190s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                       stl_vector.h      0x45f150     
tVect::operator+                                                                                                                                                   0.190s                   0.190s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x42248e     
tVect::operator*                                                                                                                                                   0.190s                   0.190s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x419b8c     
std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++                                                                                            0.190s                   0.190s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++(int)                                                                                                                                                                                                                                                                                                                                               stl_tree.h        0x458196     
std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++                                                                                            0.180s                   0.180s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++(int)                                                                                                                                                                                                                                                                                                                                               stl_tree.h        0x457170     
node::isWall                                                                                                                                                       0.180s                   0.180s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::isWall(void) const                                                                                                                                                                                                                                                                                                                                                                                                   node.cpp          0x461220     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 0.180s                   0.180s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h         0x458810     
tVect::operator+                                                                                                                                                   0.170s                   0.170s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x422390     
LB::getY                                                                                                                                                           0.160s                   0.160s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::getY(unsigned int const&) const                                                                                                                                                                                                                                                                                                                                                                                        LB.cpp            0x44d2b0     
std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++                                                                                            0.160s                   0.160s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++(int)                                                                                                                                                                                                                                                                                                                                               stl_tree.h        0x456f95     
std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++                                                                                            0.160s                   0.160s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::_Rb_tree_iterator<std::pair<unsigned int const, node>>::operator++(int)                                                                                                                                                                                                                                                                                                                                               stl_tree.h        0x458094     
std::vector<elmt, std::allocator<elmt>>::operator[]                                                                                                                0.160s                   0.160s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<elmt, std::allocator<elmt>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x4576b5     
tVect::tVect                                                                                                                                                       0.160s                   0.160s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::tVect(double const&, double const&, double const&)                                                                                                                                                                                                                                                                                                                                                                  myvector.h        0x43f9ee     
quaternion::operator+                                                                                                                                              0.150s                   0.150s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x421fb3     
tVect::operator*                                                                                                                                                   0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x41a162     
node::setEquilibrium                                                                                                                                               0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          node::setEquilibrium(tVect const&, double const&, tVect const&)                                                                                                                                                                                                                                                                                                                                                            node.cpp          0x460210     
std::set<unsigned int, std::less<unsigned int>, std::allocator<unsigned int>>::~set                                                                                0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::set<unsigned int, std::less<unsigned int>, std::allocator<unsigned int>>::~set(void)                                                                                                                                                                                                                                                                                                                                  stl_set.h         0x45f83b     
tVect::operator*                                                                                                                                                   0.140s                   0.140s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x422c5f     
tVect::operator+                                                                                                                                                   0.130s                   0.130s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x412367     
std::pair<unsigned int, node>::pair<unsigned int const&, node&, (bool)1>                                                                                           0.130s                   0.130s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::pair<unsigned int, node>::pair<unsigned int const&, node&, (bool)1>(unsigned int const&&&, node&&&)                                                                                                                                                                                                                                                                                                                   stl_pair.h        0x458edd     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count                                      0.130s                   0.130s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::count(unsigned int const&) const                                                                                                                                                                                                                                                                   stl_map.h         0x4596ab     
tVect::operator+                                                                                                                                                   0.130s                   0.130s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x460e50     
tVect::operator+                                                                                                                                                   0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x4229ab     
std::vector<node*, std::allocator<node*>>::push_back                                                                                                               0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<node*, std::allocator<node*>>::push_back(node* const&)                                                                                                                                                                                                                                                                                                                                                         stl_vector.h      0x456e9d     
tVect::operator+=                                                                                                                                                  0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+=(tVect const&)                                                                                                                                                                                                                                                                                                                                                                                            myvector.inl      0x41c000     
tVect::operator*                                                                                                                                                   0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator*(double const&) const                                                                                                                                                                                                                                                                                                                                                                                      myvector.inl      0x40b808     
std::vector<particle, std::allocator<particle>>::operator[]                                                                                                        0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<particle, std::allocator<particle>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                 stl_vector.h      0x4118ea     
std::chrono::_V2::steady_clock::now                                                                                                                                0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libstdc++.so.6  std::chrono::_V2::steady_clock::now(void)                                                                                                                                                                                                                                                                                                                                                                                  chrono.cc         0xd3860      
LB::checkNewInterfaceParticles                                                                                                                                     0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::checkNewInterfaceParticles(std::vector<elmt, std::allocator<elmt>>&, std::vector<particle, std::allocator<particle>>&)                                                                                                                                                                                                                                                                                                 LB.cpp            0x44b610     
std::vector<wall, std::allocator<wall>>::size                                                                                                                      0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<wall, std::allocator<wall>>::size(void) const                                                                                                                                                                                                                                                                                                                                                                  stl_vector.h      0x411f9b     
std::vector<int, std::allocator<int>>::operator[]                                                                                                                  0.120s                   0.120s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::vector<int, std::allocator<int>>::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                           stl_vector.h      0x4585f2     
std::basic_ofstream<char, std::char_traits<char>>::open                                                                                                            0.111s                   0.111s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  libstdc++.so.6  std::basic_ofstream<char, std::char_traits<char>>::open(char const*, std::_Ios_Openmode)                                                                                                                                                                                                                                                                                                                                   fstream           0x117730     
tVect::operator+                                                                                                                                                   0.110s                   0.110s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          tVect::operator+(tVect const&) const                                                                                                                                                                                                                                                                                                                                                                                       myvector.inl      0x422c2b     
quaternion::operator+                                                                                                                                              0.110s                   0.110s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          quaternion::operator+(quaternion const&) const                                                                                                                                                                                                                                                                                                                                                                             myvector.inl      0x422e01     
LB::initializeWalls                                                                                                                                                0.110s                   0.110s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          LB::initializeWalls(std::vector<wall, std::allocator<wall>>&, std::vector<cylinder, std::allocator<cylinder>>&, std::vector<object, std::allocator<object>>&)                                                                                                                                                                                                                                                              LB.cpp            0x4570c0     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 0.110s                   0.110s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h         0x45f3ab     
std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[]                                 0.108s                   0.108s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          std::map<unsigned int const, node, std::less<unsigned int const>, std::allocator<std::pair<unsigned int const, node>>>::operator[](unsigned int const&)                                                                                                                                                                                                                                                                    stl_map.h         0x45f454     
IO::exportFreeSurfaceExtent                                                                                                                                        0.102s                   0.102s                  0s                                               0s                                  0s                        0s                      0s                               0s                                 0s                                0s                              0s                            0s  hybird          IO::exportFreeSurfaceExtent(LB const&)                                                                                                                                                                                                                                                                                                                                                                                     IO.cpp            0x436290     
